,TacheUrb2014,BANDE_LITT,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
0,extérieur,100_200m,635,7.0,23.0,44.0,67.0,77.0,83.0,17.0,1414,85,4190970.0,141491.0,82458.0,11883,10527,4648,4150,4438,8697,841,15428
1,extérieur,100m,368,3.0,23.0,48.0,73.0,79.0,86.0,14.0,550,43,3074337.0,54993.0,46201.0,1506,10025,3847,3415,6068,18114,1224,1798
2,extérieur,1_5km,20709,4.0,28.0,55.0,82.0,87.0,90.0,10.0,26460,994,104257917.0,2646895.0,3035217.0,41770,263136,215926,251260,311035,1350835,347400,217135
3,extérieur,200_500m,3187,5.0,25.0,47.0,74.0,82.0,85.0,15.0,4575,373,13778475.0,503781.0,166750.0,21094,20627,17248,6563,13173,40943,8227,19656
4,extérieur,500m_1km,6873,4.0,25.0,49.0,76.0,85.0,89.0,11.0,9766,656,24652964.0,977221.0,359473.0,7391,35199,44426,29734,28066,126081,54739,22229
5,intérieur,100_200m,3264,6.0,24.0,41.0,68.0,77.0,81.0,19.0,6657,591,10310380.0,761715.0,303691.0,42391,85605,25890,6612,27822,9674,24352,35250
6,intérieur,100m,1619,5.0,28.0,45.0,71.0,76.0,82.0,18.0,3706,299,5441231.0,414749.0,185106.0,36676,19073,21966,3657,15803,8251,8282,33727
7,intérieur,1_5km,21354,5.0,33.0,57.0,80.0,84.0,87.0,13.0,41760,1026,69590845.0,3897187.0,1998691.0,48241,290394,339226,164261,112835,371275,271496,304097
8,intérieur,200_500m,9150,6.0,25.0,44.0,69.0,78.0,82.0,18.0,18712,1523,17537943.0,1944885.0,355354.0,7844,51065,58745,17436,32192,48187,20609,71338
9,intérieur,500m_1km,10665,6.0,27.0,49.0,75.0,82.0,86.0,14.0,22781,1143,35249192.0,2228009.0,552282.0,11833,63357,84886,27001,34403,74448,63572,119643
