,BANDE_LITT,ANNEE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
0,100_200m,2013,19,0.0,79.0,79.0,84.0,16.0,16,1,67840.0,2454.0,3197.0,0,0,0,259,1800,0,0,1138
1,100_200m,2014,31,0.0,81.0,81.0,84.0,16.0,55,1,42954.0,7144.0,11453.0,9835,0,299,0,0,1020,0,0
2,100_200m,2015,20,0.0,65.0,75.0,75.0,25.0,20,4,17317.0,2959.0,0.0,0,0,0,0,0,0,0,0
3,100_200m,2016,24,0.0,71.0,83.0,88.0,12.0,24,5,26161.0,3597.0,0.0,0,0,0,0,0,0,0,0
4,100_200m,2017,58,0.0,48.0,78.0,81.0,19.0,395,6,177308.0,33426.0,17756.0,1757,0,1207,0,0,402,0,5713
5,100_200m,2018,37,0.0,68.0,81.0,86.0,14.0,52,8,24579.0,5958.0,9.0,0,0,0,0,0,0,0,9
6,100_200m,2019,19,0.0,63.0,68.0,79.0,21.0,22,3,25797.0,3232.0,0.0,0,0,0,0,0,0,0,0
7,100_200m,2020,32,0.0,69.0,75.0,81.0,19.0,129,4,80721.0,9843.0,0.0,0,0,0,0,0,0,0,0
8,100_200m,2021,29,0.0,62.0,72.0,76.0,24.0,127,5,27182.0,9693.0,141.0,0,0,0,141,0,0,0,0
9,100_200m,2022,9,0.0,67.0,78.0,89.0,11.0,9,3,5801.0,1177.0,0.0,0,0,0,0,0,0,0,0
10,100_200m,2023,7,0.0,86.0,86.0,86.0,14.0,6,1,6025.0,1093.0,354.0,0,0,0,0,0,177,0,0
11,100_200m,2024,10,0.0,60.0,80.0,90.0,10.0,94,3,92921.0,12418.0,23630.0,0,9698,163,0,0,0,0,1954
12,100m,2013,2,0.0,100.0,100.0,100.0,0.0,1,0,9064.0,52.0,198.0,0,0,0,0,0,99,0,0
13,100m,2014,1,0.0,0.0,100.0,100.0,0.0,1,1,2256.0,272.0,0.0,0,0,0,0,0,0,0,0
14,100m,2016,3,0.0,67.0,100.0,100.0,0.0,2,0,4281.0,225.0,790.0,0,0,0,790,0,0,0,0
15,100m,2017,13,0.0,77.0,92.0,92.0,8.0,98,0,93842.0,6835.0,8.0,0,0,0,0,8,0,0,0
16,100m,2018,38,0.0,87.0,95.0,100.0,0.0,94,1,19191.0,8967.0,4783.0,0,845,1720,140,1901,0,177,0
17,100m,2019,9,0.0,44.0,56.0,67.0,33.0,8,3,10040.0,1391.0,244.0,0,0,0,0,0,0,0,244
18,100m,2020,2,0.0,100.0,100.0,100.0,0.0,2,0,4957.0,268.0,0.0,0,0,0,0,0,0,0,0
19,100m,2021,5,0.0,60.0,80.0,80.0,20.0,4,0,4973.0,600.0,146.0,0,0,0,0,0,146,0,0
20,100m,2022,1,0.0,0.0,0.0,0.0,100.0,1,0,1734.0,120.0,0.0,0,0,0,0,0,0,0,0
21,100m,2024,1,0.0,100.0,100.0,100.0,0.0,1,0,986.0,180.0,0.0,0,0,0,0,0,0,0,0
22,1_5km,2013,628,0.0,83.0,88.0,93.0,7.0,723,27,1211406.0,77218.0,104925.0,3011,12586,5786,5313,6180,52486,12497,5710
23,1_5km,2014,763,0.0,87.0,89.0,92.0,8.0,896,20,1418651.0,93380.0,85627.0,3198,16859,12164,7701,19850,20306,4084,1341
24,1_5km,2015,889,0.0,84.0,89.0,92.0,8.0,995,42,1814099.0,102595.0,78465.0,563,7151,8234,10748,9927,29689,7342,3655
25,1_5km,2016,1123,0.0,84.0,88.0,90.0,10.0,1690,47,3858399.0,156411.0,151308.0,0,12605,2252,4175,1284,111532,7698,11608
26,1_5km,2017,1794,0.0,84.0,90.0,93.0,7.0,2771,124,3898527.0,250372.0,137551.0,4697,7921,14966,14908,12880,64628,10423,6336
27,1_5km,2018,1720,0.0,84.0,91.0,93.0,7.0,2050,121,2510349.0,207002.0,108384.0,44,16516,9342,15754,7870,26513,22426,6174
28,1_5km,2019,1649,0.0,84.0,88.0,90.0,10.0,2077,63,3356928.0,213849.0,90127.0,960,8191,2618,11878,3865,38971,13451,7752
29,1_5km,2020,1396,0.0,84.0,90.0,93.0,7.0,1981,47,4064868.0,193970.0,155979.0,0,15688,4704,12959,15007,85256,18113,3594
30,1_5km,2021,1319,0.0,81.0,88.0,90.0,10.0,1514,73,2533568.0,154645.0,81413.0,15,9254,16217,9372,3620,22934,9080,10354
31,1_5km,2022,463,0.0,82.0,88.0,91.0,9.0,548,21,1168892.0,58897.0,22654.0,0,2097,4945,2921,936,5285,6003,7
32,1_5km,2023,171,0.0,77.0,84.0,88.0,12.0,233,10,225425.0,24755.0,11517.0,1627,1810,2705,2524,15,238,1677,176
33,1_5km,2024,133,0.0,77.0,87.0,88.0,12.0,240,10,341527.0,23245.0,22015.0,1627,5034,0,3200,8442,156,1013,660
34,200_500m,2013,103,0.0,78.0,89.0,89.0,11.0,154,11,109027.0,17515.0,5321.0,90,2582,257,698,0,0,837,857
35,200_500m,2014,103,0.0,70.0,81.0,83.0,17.0,178,13,137687.0,17710.0,4429.0,0,323,840,243,0,3023,0,0
36,200_500m,2015,138,0.0,75.0,84.0,85.0,15.0,207,14,112616.0,26250.0,1553.0,0,500,0,0,0,546,0,7
37,200_500m,2016,156,0.0,72.0,80.0,85.0,15.0,178,15,158375.0,20502.0,10650.0,0,499,125,1039,0,6980,0,2007
38,200_500m,2017,255,0.0,76.0,83.0,85.0,15.0,336,13,325747.0,36165.0,6931.0,0,17,452,721,0,3161,20,1627
39,200_500m,2018,233,0.0,82.0,88.0,90.0,10.0,265,24,320215.0,30168.0,8956.0,0,2204,132,695,1320,1599,2918,0
40,200_500m,2019,269,0.0,75.0,82.0,86.0,14.0,340,25,995392.0,36532.0,6595.0,412,1470,1087,0,9,1158,167,462
41,200_500m,2020,241,0.0,72.0,83.0,87.0,13.0,285,33,453766.0,33512.0,2605.0,0,156,0,312,0,1215,128,794
42,200_500m,2021,242,0.0,72.0,83.0,86.0,14.0,293,35,401218.0,31707.0,1224.0,37,241,0,0,0,798,148,0
43,200_500m,2022,74,0.0,76.0,89.0,92.0,8.0,234,11,147794.0,29000.0,1447.0,0,212,344,348,0,199,0,0
44,200_500m,2023,41,0.0,66.0,85.0,85.0,15.0,42,8,72539.0,5173.0,472.0,0,0,0,0,0,72,400,0
45,200_500m,2024,24,0.0,71.0,75.0,75.0,25.0,35,5,22426.0,3868.0,922.0,0,0,0,597,0,162,0,1
46,500m_1km,2013,203,0.0,71.0,78.0,81.0,19.0,401,21,449060.0,36293.0,13889.0,0,776,34,1619,0,8851,569,2006
47,500m_1km,2014,210,0.0,79.0,83.0,85.0,15.0,422,19,275116.0,37751.0,3591.0,0,105,1242,39,0,200,185,1820
48,500m_1km,2015,289,0.0,79.0,88.0,91.0,9.0,317,18,252101.0,35849.0,6229.0,0,1190,149,973,0,696,2472,600
49,500m_1km,2016,425,0.0,80.0,87.0,90.0,10.0,570,38,418262.0,56687.0,8768.0,120,442,243,1151,7,5842,380,543
50,500m_1km,2017,658,0.0,80.0,89.0,91.0,9.0,761,66,1092703.0,82240.0,19109.0,151,2531,3600,2420,8,3819,6025,151
51,500m_1km,2018,696,0.0,79.0,87.0,90.0,10.0,1048,63,832537.0,101497.0,16861.0,0,5564,2856,2491,7,3927,1247,110
52,500m_1km,2019,533,0.0,71.0,83.0,87.0,13.0,664,53,547422.0,68029.0,12416.0,77,964,1661,715,0,7224,649,874
53,500m_1km,2020,510,0.0,75.0,87.0,90.0,10.0,682,39,665937.0,69533.0,8333.0,0,3021,740,533,1727,593,1609,7
54,500m_1km,2021,419,0.0,76.0,87.0,90.0,10.0,513,28,626800.0,51598.0,13453.0,43,1830,1202,1414,879,5212,1634,1130
55,500m_1km,2022,209,0.0,72.0,84.0,90.0,10.0,281,17,258552.0,30684.0,2669.0,48,1757,402,0,0,454,8,0
56,500m_1km,2023,58,0.0,76.0,83.0,84.0,16.0,61,6,53612.0,6514.0,2612.0,0,181,380,1426,0,0,493,132
57,500m_1km,2024,32,0.0,78.0,94.0,94.0,6.0,60,5,55068.0,5613.0,625.0,189,0,0,0,0,0,149,287
